id,category,segment,serviceKey,propertyType,propertyKey,premise,sizeKey,service,subService,subServiceKey,contractPeriod,numberOfVisits,price,duration,experts,treatmentMethod,description,pestCovered,pestNotCovered,chemicalsUsed
KITCHEN_WASHROOM_GENERAL_SINGLE_30,Pest Control,Residential,general_pest_control_30_days,Only Kitchen & Washroom,only_kitchen_and_washroom,Only Kitchen & Washroom,only_kitchen_and_washroom,General Pest Control 30 Days,Single,single,30 Days,1,999,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets, plant feeding insects & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
KITCHEN_WASHROOM_GENERAL_SINGLE_90,Pest Control,Residential,general_pest_control_90_days,Only Kitchen & Washroom,only_kitchen_and_washroom,Only Kitchen & Washroom,only_kitchen_and_washroom,General Pest Control 90 Days,Single,single,90 Days,1,1399,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets, plant feeding insects & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
KITCHEN_WASHROOM_GENERAL_SINGLE_AMC,Pest Control,Residential,general_pest_control_amc,Only Kitchen & Washroom,only_kitchen_and_washroom,Only Kitchen & Washroom,only_kitchen_and_washroom,General Pest Control AMC,Annual AMC,annual_amc,365 Days,1,1899,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets, plant feeding insects & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
CHAWL_ROOM_100_GENERAL_30,Pest Control,Residential,general_pest_control_30_days,Room,room,100 Sqft,100_sqft,General Pest Control 30 Days,Single,single,30 Days,1,699,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets, plant feeding insects & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
CHAWL_ROOM_100_GENERAL_90,Pest Control,Residential,general_pest_control_90_days,Room,room,100 Sqft,100_sqft,General Pest Control 90 Days,Single,single,90 Days,1,899,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets, plant feeding insects & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
CHAWL_ROOM_100_GENERAL_AMC,Pest Control,Residential,general_pest_control_amc,Room,room,100 Sqft,100_sqft,General Pest Control AMC,Annual AMC,annual_amc,365 Days,3,1800,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets, plant feeding insects & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
CHAWL_ROOM_100_350_GENERAL_30,Pest Control,Residential,general_pest_control_30_days,Room,room,100 - 350 Sqft,100_-_350_sqft,General Pest Control 30 Days,Single,single,30 Days,1,899,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets, plant feeding insects & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
CHAWL_ROOM_100_350_GENERAL_90,Pest Control,Residential,general_pest_control_90_days,Room,room,100 - 350 Sqft,100_-_350_sqft,General Pest Control 90 Days,Single,single,90 Days,1,1099,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets, plant feeding insects & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
CHAWL_ROOM_100_350_GENERAL_AMC,Pest Control,Residential,general_pest_control_amc,Room,room,100 - 350 Sqft,100_-_350_sqft,General Pest Control AMC,Annual AMC,annual_amc,365 Days,3,1999,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets, plant feeding insects & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
APT_1RK_GENERAL_30,Pest Control,Residential,general_pest_control_30_days,Apartment,apartment,1 RK,1_rk,General Pest Control 30 Days,Single,single,30 Days,1,899,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets, plant feeding insects & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
APT_1RK_GENERAL_90,Pest Control,Residential,general_pest_control_90_days,Apartment,apartment,1 RK,1_rk,General Pest Control 90 Days,Single,single,90 Days,1,1199,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
APT_1RK_GENERAL_AMC,Pest Control,Residential,general_pest_control_amc,Apartment,apartment,1 RK,1_rk,General Pest Control AMC,Annual AMC,annual_amc,365 Days,3,2099,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
APT_1BHK_GENERAL_30,Pest Control,Residential,general_pest_control_30_days,Apartment,apartment,1 BHK,1_bhk,General Pest Control 30 Days,Single,single,30 Days,1,999,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
APT_1BHK_GENERAL_90,Pest Control,Residential,general_pest_control_90_days,Apartment,apartment,1 BHK,1_bhk,General Pest Control 90 Days,Single,single,90 Days,1,1299,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
APT_1BHK_GENERAL_AMC,Pest Control,Residential,general_pest_control_amc,Apartment,apartment,1 BHK,1_bhk,General Pest Control AMC,Annual AMC,annual_amc,365 Days,3,2699,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
APT_2BHK_GENERAL_30,Pest Control,Residential,general_pest_control_30_days,Apartment,apartment,2 BHK,2_bhk,General Pest Control 30 Days,Single,single,30 Days,1,1199,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
APT_2BHK_GENERAL_90,Pest Control,Residential,general_pest_control_90_days,Apartment,apartment,2 BHK,2_bhk,General Pest Control 90 Days,Single,single,90 Days,1,1399,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
APT_2BHK_GENERAL_AMC,Pest Control,Residential,general_pest_control_amc,Apartment,apartment,2 BHK,2_bhk,General Pest Control AMC,Annual AMC,annual_amc,365 Days,3,2999,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
APT_3BHK_GENERAL_30,Pest Control,Residential,general_pest_control_30_days,Apartment,apartment,3 BHK,3_bhk,General Pest Control 30 Days,Single,single,30 Days,1,1299,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
APT_3BHK_GENERAL_90,Pest Control,Residential,general_pest_control_90_days,Apartment,apartment,3 BHK,3_bhk,General Pest Control 90 Days,Single,single,90 Days,1,1699,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
APT_3BHK_GENERAL_AMC,Pest Control,Residential,general_pest_control_amc,Apartment,apartment,3 BHK,3_bhk,General Pest Control AMC,Annual AMC,annual_amc,365 Days,3,3899,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
APT_4BHK_GENERAL_30,Pest Control,Residential,general_pest_control_30_days,Apartment,apartment,4 BHK,4_bhk,General Pest Control 30 Days,Single,single,30 Days,1,999,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
APT_4BHK_GENERAL_90,Pest Control,Residential,general_pest_control_90_days,Apartment,apartment,4 BHK,4_bhk,General Pest Control 90 Days,Single,single,90 Days,1,1599,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
APT_4BHK_GENERAL_AMC,Pest Control,Residential,general_pest_control_amc,Apartment,apartment,4 BHK,4_bhk,General Pest Control AMC,Annual AMC,annual_amc,365 Days,3,3499,30-45 mins,1,Chemical Spray & Gel Treatment,"Two-step pest control treatment for cockroaches, Ant, and common pests. Step 1: Chemical spray in kitchen & washroom,. Step 2: Gel treatment after 7 days in kitchen to target hidden pests and prevent re-infestation.","Cockroach,Ant,Spider,Moths,SilverFish,BooklicePsocids,Springtail,Earwigs,Centipedes,Millipede","Termite, Wood Boorer, BedBugs, Fleas, Flyes, Lizards, Balnket worms, Mosquitoes , Flying Insects, Honey Bees, Bettles, Carpenter Ant, White Ant, Rat, Mice, Bandicoots, Ticks, Pigeons, Squirrels, Wasps / Hornets & Bees",Odour or Odurless as per customer request. Incase of high pest infestation Odour Chemical is recommanded for quick response. All chemicals are Government & CIB Chemical Insecticide Board of India approved.
